"","zip_code","CountyFIPSCode","count","experience","spec_count","polulation","unemployment_rate","STATE","total_income","averge_income","contract_id","tier_label","mnthly_prm","ann_ddctbl","copay_max","coin_max","Summary_Score","Star_Rating_Current"
"36812",78069,48029,973,22.2763993075591,59,4767,7.19,"TX",81771,17.1535556954059,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36813",78069,48013,33,16.2884615384615,13,4767,7.19,"TX",81771,17.1535556954059,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36814",78069,48013,33,16.2884615384615,13,4767,7.19,"TX",81771,17.1535556954059,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36815",78070,48091,185,19.5471698113208,30,7283,3.92,"TX",663196,91.0608265824523,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36816",78070,48259,83,22.0431654676259,24,7283,3.92,"TX",663196,91.0608265824523,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36817",78070,48031,42,20.8857142857143,15,7283,3.92,"TX",663196,91.0608265824523,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36820",78073,48013,33,16.2884615384615,13,7106,3.1,"TX",124640,17.5401069518717,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36821",78073,48013,33,16.2884615384615,13,7106,3.1,"TX",124640,17.5401069518717,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36822",78073,48029,973,22.2763993075591,59,7106,3.1,"TX",124640,17.5401069518717,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36823",78073,48029,973,22.2763993075591,59,7106,3.1,"TX",124640,17.5401069518717,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36825",78101,48029,973,22.2763993075591,59,6203,7.13,"TX",242607,39.1112364984685,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36826",78101,48029,973,22.2763993075591,59,6203,7.13,"TX",242607,39.1112364984685,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36827",78101,48493,53,17.9390243902439,18,6203,7.13,"TX",242607,39.1112364984685,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36828",78101,48493,53,17.9390243902439,18,6203,7.13,"TX",242607,39.1112364984685,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36831",78108,48091,185,19.5471698113208,30,8921,3.5,"TX",969461,108.671785674252,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36832",78108,48091,185,19.5471698113208,30,8921,3.5,"TX",969461,108.671785674252,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36833",78108,48091,185,19.5471698113208,30,8921,3.5,"TX",969461,108.671785674252,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36834",78108,48029,973,22.2763993075591,59,8921,3.5,"TX",969461,108.671785674252,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36835",78108,48029,973,22.2763993075591,59,8921,3.5,"TX",969461,108.671785674252,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36836",78108,48029,973,22.2763993075591,59,8921,3.5,"TX",969461,108.671785674252,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36837",78108,48187,159,18.9466666666667,32,8921,3.5,"TX",969461,108.671785674252,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36838",78108,48187,159,18.9466666666667,32,8921,3.5,"TX",969461,108.671785674252,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36839",78108,48187,159,18.9466666666667,32,8921,3.5,"TX",969461,108.671785674252,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36840",78109,48029,973,22.2763993075591,59,23831,5.49,"TX",837644,35.1493432923503,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36841",78109,48029,973,22.2763993075591,59,23831,5.49,"TX",837644,35.1493432923503,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36842",78112,48029,973,22.2763993075591,59,6496,5.81,"TX",133196,20.5043103448276,"H1264",5,0,160,90,33,"Overall Star Rating",3
