"","ZIPCODE","total_income"
"1040",72012,245562
"1041",72013,41908
"1042",72015,521437
"1043",72016,59529
"1044",72017,9599
"1045",72019,685774
"1046",72020,55802
"1047",72021,65674
"1048",72022,393007
"1049",72023,838916
"1050",72024,77980
"1051",72025,11041
"1052",72026,5623
"1053",72027,31536
"1054",72029,26821
"1055",72030,13092
"1056",72031,122461
"1057",72032,586877
"1058",72034,1122218
"1059",72036,9122
"1060",72039,43131
"1061",72040,46923
"1062",72041,24864
"1063",72042,107034
"1064",72044,16750
"1065",72045,21381
"1066",72046,82589
"1067",72047,18945
"1068",72051,8143
"1069",72055,17001
"1070",72057,18513
"1071",72058,372998
"1072",72060,11221
"1073",72061,10697
"1074",72063,27488
"1075",72064,46903
"1076",72065,117073
"1077",72067,53346
"1078",72068,6842
"1079",72069,20970
"1080",72070,29015
"1081",72072,9669
"1082",72073,20047
"1083",72076,622947
"1084",72079,14106
"1085",72080,10438
"1086",72081,117984
"1087",72082,18915
"1088",72084,16361
"1089",72086,211663
"1090",72087,30452
"1091",72088,44021
"1092",72101,59142
"1093",72102,39234
"1094",72103,238574
"1095",72104,361578
"1096",72106,110593
"1097",72110,217922
"1098",72111,23531
"1099",72112,150216
"1100",72113,782567
"1101",72114,102987
"1102",72116,703308
"1103",72117,185763
"1104",72118,383026
"1105",72120,876195
"1106",72121,48381
"1107",72122,38237
"1108",72125,12878
"1109",72126,66948
"1110",72127,39976
"1111",72128,14035
"1112",72129,25328
"1113",72130,6537
"1114",72131,95428
"1115",72132,72622
"1116",72134,9056
"1117",72135,111676
"1118",72136,30248
"1119",72137,43941
"1120",72140,5980
"1121",72141,6488
"1122",72142,67788
"1123",72143,687280
"1124",72150,256773
"1125",72152,7494
"1126",72153,33787
"1127",72156,12799
"1128",72157,26524
"1129",72160,247785
"1130",72166,4032
"1131",72167,27534
"1132",72168,4733
"1133",72173,197120
"1134",72175,4013
"1135",72176,148758
"1136",72179,8327
"1137",72181,7158
"1138",72201,58840
"1139",72202,243636
"1140",72204,416700
"1141",72205,656804
"1142",72206,355515
"1143",72207,767173
"1144",72209,359908
"1145",72210,360425
"1146",72211,769131
"1147",72212,798018
"1148",72223,1414014
"1149",72227,446797
"1150",72301,355654
"1151",72315,362041
"1152",72324,31289
"1153",72326,34225
"1154",72327,25348
"1155",72330,8477
"1156",72331,30852
"1157",72333,14381
"1158",72335,170822
"1159",72342,70794
"1160",72346,8521
"1161",72347,11494
"1162",72348,32734
"1163",72350,11671
"1164",72354,36794
"1165",72355,36655
"1166",72358,14021
"1167",72360,88541
"1168",72364,372249
"1169",72365,40859
"1170",72366,41304
"1171",72368,21534
"1172",72370,115684
"1173",72372,29722
"1174",72373,12789
"1175",72374,13280
"1176",72376,33289
"1177",72384,10737
"1178",72386,30611
"1179",72390,97773
"1180",72392,6748
"1181",72394,6459
"1182",72395,22572
"1183",72396,244289
"1184",72401,958756
"1185",72404,721912
"1186",72410,5279
"1187",72411,32925
"1188",72412,9893
"1189",72413,6335
"1190",72414,6313
"1191",72415,18401
"1192",72416,94636
"1193",72417,73230
"1194",72419,22060
"1195",72421,9633
"1196",72422,74184
"1197",72425,5139
"1198",72429,9339
"1199",72430,5261
"1200",72432,91888
"1201",72433,32656
"1202",72434,28982
"1203",72435,7963
"1204",72436,14941
"1205",72437,55325
"1206",72438,39494
"1207",72440,5374
"1208",72442,84318
"1209",72443,41973
"1210",72444,22064
"1211",72447,34868
"1212",72450,653067
"1213",72454,77773
"1214",72455,195975
"1215",72456,7121
"1216",72458,9353
"1217",72459,14633
"1218",72460,9707
"1219",72461,60504
"1220",72466,17564
"1221",72469,13387
"1222",72470,6213
"1223",72471,13956
"1224",72472,123953
"1225",72473,39097
"1226",72476,105636
"1227",72478,4604
"1228",72479,31059
"1229",72482,9750
"1230",72501,430883
"1231",72512,25437
"1232",72513,42242
"1233",72517,3552
"1234",72519,38130
"1235",72520,3014
"1236",72521,66329
"1237",72522,6868
"1238",72523,13162
"1239",72524,6860
"1240",72527,10100
"1241",72529,55296
"1242",72530,29909
"1243",72531,10777
"1244",72532,20924
"1245",72533,4427
"1246",72534,21058
"1247",72536,6768
"1248",72537,11958
"1249",72538,5579
"1250",72539,5503
"1251",72542,47544
"1252",72543,274416
"1253",72544,11269
"1254",72550,14591
"1255",72554,35493
"1256",72556,59429
"1257",72560,127649
"1258",72561,13667
"1259",72562,33009
"1260",72564,7422
"1261",72565,9206
"1262",72566,7082
"1263",72567,3596
"1264",72568,27947
"1265",72569,5026
"1266",72571,7062
"1267",72573,5168
"1268",72576,52797
"1269",72577,8454
"1270",72579,22061
"1271",72581,21580
"1272",72583,20516
"1273",72584,6371
"1274",72601,493632
"1275",72611,25613
"1276",72616,162321
"1277",72619,28065
"1278",72623,10889
"1279",72624,6810
"1280",72626,22659
"1281",72628,8621
"1282",72629,6840
"1283",72631,85076
"1284",72632,80564
"1285",72633,21693
"1286",72634,73778
"1287",72635,53608
"1288",72638,99433
"1289",72639,4660
"1290",72640,4343
"1291",72641,31940
"1292",72642,37656
"1293",72644,29995
"1294",72645,18094
"1295",72648,9989
"1296",72650,50167
"1297",72651,16993
"1298",72653,533530
"1299",72655,4641
"1300",72658,24106
"1301",72660,6801
"1302",72661,8074
"1303",72662,48334
"1304",72663,3722
"1305",72666,3155
"1306",72668,6477
"1307",72675,17372
"1308",72679,4424
"1309",72680,8655
"1310",72682,9324
"1311",72683,3002
"1312",72685,18003
"1313",72687,84589
"1314",72701,844350
"1315",72703,940621
"1316",72704,650473
"1317",72712,3848984
"1318",72714,383541
"1319",72715,473900
"1320",72717,10788
"1321",72718,90783
"1322",72719,255490
"1323",72721,4981
"1324",72722,45138
"1325",72727,99257
"1326",72730,197472
"1327",72732,94928
"1328",72734,128413
"1329",72736,130740
"1330",72738,44441
"1331",72739,9315
"1332",72740,146351
"1333",72742,8672
"1334",72744,74369
"1335",72745,275315
"1336",72751,134425
"1337",72752,3854
"1338",72753,169237
"1339",72756,823341
"1340",72758,1430864
"1341",72760,4262
"1342",72761,392480
"1343",72762,963741
"1344",72764,891978
"1345",72768,15513
"1346",72769,12301
"1347",72773,16664
"1348",72774,120322
"1349",72776,5978
"1350",72801,235413
"1351",72802,496201
"1352",72821,20275
"1353",72823,100386
"1354",72824,19637
"1355",72830,226987
"1356",72832,10999
"1357",72833,68411
"1358",72834,160431
"1359",72835,11910
"1360",72837,150182
"1361",72840,27158
"1362",72842,18486
"1363",72843,31746
"1364",72845,20633
"1365",72846,60218
"1366",72847,47854
"1367",72851,13211
"1368",72853,27867
"1369",72854,7622
"1370",72855,95634
"1371",72856,4843
"1372",72857,16595
"1373",72858,63647
"1374",72860,4705
"1375",72863,30404
"1376",72865,19961
